#1
#Bezugskoordinaten: 50,7931° N	6,0546° O
#
#Koordinatensystem : Lambert konform konisch	
#Rechtswert        : 3732500 Meter	
#Hochwert          : 2677500 Meter	
#Hoehenlage        : 165 Meter ueber NN	
#Erstellung des Datensatzes im Mai 2016	
#
#Art des TRY       : mittleres Jahr	
#Bezugszeitraum    : 1995-2012	
#Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012	
#	
#Format:(i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)	
#	
#Reihenfolge der Parameter:	
#2 RW Rechtswert                                                    [m]       {3670500;3671500..4389500}"	
#3 HW Hochwert                                                      [m]       {2242500;2243500..3179500}"	
#4 MM Monat                                                                   {1..12}	
#5 DD Tag                                                                     {1..28,30,31}	
#6 HH Stunde (MEZ)                                                            {1..24}	
#7 t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]	
#8 p  Luftdruck in Standorthoehe                                    [hPa]	
#9 WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}"	
#10 WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]	
#11 N  Bedeckungsgrad                                                [Achtel]  {0..8;9}"	
#12 x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]	
#13 RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}	
#14 B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv	
#15 D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv	
#16 A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv	
#17 E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ	
#18 IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}"	
#	
#	
#     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL	
#***
double wetter (8761, 18) 	
28670400	3732500 2677500 11 28 21   8.9  987 200  4.3 6  6.2  86    0    0 314 -356  1
28674000	3732500 2677500 11 28 22   8.5  987 190  4.3 5  6.2  86    0    0 291 -356  1
28677600	3732500 2677500 11 28 23   8.6  986 190  5.5 4  6.1  86    0    0 271 -356  1
28681200	3732500 2677500 11 28 24   8.7  986 190  5.1 3  6.2  86    0    0 251 -357  1
28684800	3732500 2677500 11 29  1   8.7  986 190  3.7 5  6.2  86    0    0 264 -358  1
28688400	3732500 2677500 11 29  2   9.1  986 190  3.8 7  6.2  86    0    0 309 -359  1
28692000	3732500 2677500 11 29  3   9.3  985 180  4.1 6  6.3  85    0    0 317 -360  1
28695600	3732500 2677500 11 29  4   8.5  985 202  1.6 6  6.2  86    0    0 297 -360  1
28699200	3732500 2677500 11 29  5   8.7  985 180  3.8 6  6.2  87    0    0 290 -361  1
28702800	3732500 2677500 11 29  6   8.9  984 180  2.4 6  6.4  88    0    0 294 -361  1
28706400	3732500 2677500 11 29  7   9.1  984 190  3.5 7  6.5  88    0    0 314 -361  1
28710000	3732500 2677500 11 29  8   8.7  983 200  3.6 7  6.6  90    0    0 329 -360  1
28713600	3732500 2677500 11 29  9   8.6  983 220  3.9 7  6.8  94    0    6 330 -359  1
28717200	3732500 2677500 11 29 10   9.0  984 220  4.7 8  6.8  94    0   26 342 -359  1
28720800	3732500 2677500 11 29 11   9.5  984 220  6.3 8  6.8  91    0   32 350 -360  1
28724400	3732500 2677500 11 29 12   9.8  984 221  5.7 7  6.9  89    0   47 342 -361  1
28728000	3732500 2677500 11 29 13  10.2  984 220  5.7 7  6.8  86    0   91 335 -361  1
28731600	3732500 2677500 11 29 14  10.2  984 230  6.1 7  6.7  84    0   76 335 -361  1
28735200	3732500 2677500 11 29 15  10.5  984 240  5.2 6  6.5  81    2   65 328 -359  1
28738800	3732500 2677500 11 29 16  10.2  984 220  4.8 7  6.5  80    6   39 327 -357  1
28742400	3732500 2677500 11 29 17  10.1  984 211  4.7 6  6.5  81    0    8 324 -354  1
28746000	3732500 2677500 11 29 18   9.7  984 210  3.6 6  6.5  83    0    0 314 -351  1
28749600	3732500 2677500 11 29 19   9.4  984 191  4.1 6  6.4  84    0    0 312 -349  1
28753200	3732500 2677500 11 29 20   9.2  984 200  4.6 7  6.3  84    0    0 318 -349  1
28756800	3732500 2677500 11 29 21   9.1  984 200  4.7 6  6.2  83    0    0 317 -350  1
28760400	3732500 2677500 11 29 22   8.8  984 200  5.3 6  6.1  83    0    0 309 -351  1
28764000	3732500 2677500 11 29 23   8.7  984 210  5.1 6  6.0  83    0    0 309 -351  1
28767600	3732500 2677500 11 29 24   8.6  984 201  4.3 2  6.0  83    0    0 276 -351  1
28771200	3732500 2677500 11 30  1   8.4  985 210  4.0 2  5.9  83    0    0 247 -352  1
28774800	3732500 2677500 11 30  2   7.9  985 190  4.4 3  5.8  84    0    0 255 -352  1
28778400	3732500 2677500 11 30  3   7.9  984 210  4.0 3  5.8  84    0    0 262 -352  1
28782000	3732500 2677500 11 30  4   7.9  984 190  4.5 5  5.7  83    0    0 272 -352  1
28785600	3732500 2677500 11 30  5   7.6  984 210  4.0 5  5.6  83    0    0 284 -352  1
28789200	3732500 2677500 11 30  6   8.2  984 190  5.0 6  5.6  82    0    0 290 -351  1
28792800	3732500 2677500 11 30  7   7.7  984 200  4.3 7  5.7  83    0    0 310 -350  1
28796400	3732500 2677500 11 30  8   7.5  984 190  5.5 7  5.8  87    0    0 319 -349  1
28800000	3732500 2677500 11 30  9   7.4  984 200  5.1 7  5.9  89    0    7 320 -349  1
28803600	3732500 2677500 11 30 10   7.4  984 190  4.9 7  5.9  90    1   53 320 -349  1
28807200	3732500 2677500 11 30 11   8.0  985 191  5.0 7  5.9  88    0   57 321 -349  1
28810800	3732500 2677500 11 30 12   8.2  985 191  5.0 8  6.0  87    0   51 330 -349  1
28814400	3732500 2677500 11 30 13   8.7  984 200  4.6 7  6.1  86    0   53 330 -350  1
28818000	3732500 2677500 11 30 14   8.6  984 200  4.0 8  6.1  86    0   27 330 -350  1
28821600	3732500 2677500 11 30 15   8.6  984 200  4.4 7  6.4  89    0   38 330 -350  1
28825200	3732500 2677500 11 30 16   8.4  984 220  3.5 8  6.6  93    0   21 330 -350  1
28828800	3732500 2677500 11 30 17   8.5  984 231  2.1 8  6.7  95    0    3 342 -349  1
28832400	3732500 2677500 11 30 18   8.4  985 301  3.4 8  6.8  96    0    0 343 -350  1
28836000	3732500 2677500 11 30 19   8.1  985 320  3.2 8  6.8  98    0    0 342 -350  1
28839600	3732500 2677500 11 30 20   8.0  986 329  3.2 8  6.7  98    0    0 340 -349  1
28843200	3732500 2677500 11 30 21   7.7  986 312  3.7 7  6.6  98    0    0 332 -345  1
28846800	3732500 2677500 11 30 22   7.4  987 329  4.0 8  6.5  98    0    0 329 -342  1
28850400	3732500 2677500 11 30 23   7.0  988 320  3.2 8  6.4  98    0    0 333 -340  1
28854000	3732500 2677500 11 30 24   6.0  989 330  5.1 8  6.0  97    0    0 327 -339  1
28857600	3732500 2677500 12  1  1   4.7  991 340  5.9 8  5.3  97    0    0 317 -336  1
28861200	3732500 2677500 12  1  2   4.1  991 339  4.0 8  5.0  95    0    0 316 -335  1
28864800	3732500 2677500 12  1  3   4.4  992 339  3.5 8  4.9  93    0    0 314 -330  1
28868400	3732500 2677500 12  1  4   4.4  993 310  2.9 7  5.0  94    0    0 307 -326  1
28872000	3732500 2677500 12  1  5   3.7  994 283  2.6 4  4.8  93    0    0 283 -322  1
28875600	3732500 2677500 12  1  6   3.2  994 299  2.4 3  4.6  93    0    0 258 -318  1
28879200	3732500 2677500 12  1  7   2.8  994 309  2.5 3  4.5  94    0    0 250 -316  1
28882800	3732500 2677500 12  1  8   2.3  995 309  2.6 1  4.3  93    0    0 237 -316  1
28886400	3732500 2677500 12  1  9   1.7  995 269  2.7 1  4.2  94    2   11 224 -316  1
28890000	3732500 2677500 12  1 10   2.5  996 239  2.2 1  4.3  95   40   50 223 -315  1
28893600	3732500 2677500 12  1 11   4.1  996 201  1.8 1  4.4  90   60   86 227 -316  1
28897200	3732500 2677500 12  1 12   4.9  996 221  2.7 0  4.5  84  166   72 224 -321  1
28900800	3732500 2677500 12  1 13   5.1  996 221  2.4 0  4.4  81  221   60 219 -328  1
28904400	3732500 2677500 12  1 14   6.3  996 231  2.5 1  4.4  75  198   56 225 -331  1
28908000	3732500 2677500 12  1 15   6.0  996 230  2.4 1  4.2  70  129   51 231 -332  1
28911600	3732500 2677500 12  1 16   5.6  995 250  2.6 2  4.1  70   50   33 235 -331  1
28915200	3732500 2677500 12  1 17   4.2  995 191  2.0 2  4.2  76    3    6 235 -328  1
28918800	3732500 2677500 12  1 18   3.3  995 170  2.2 2  4.1  81    0    0 229 -328  1
28922400	3732500 2677500 12  1 19   2.4  995 160  2.3 3  4.0  85    0    0 229 -327  1
28926000	3732500 2677500 12  1 20   2.0  994 170  2.2 3  3.9  87    0    0 231 -326  1
28929600	3732500 2677500 12  1 21   1.5  994 180  2.4 3  3.9  88    0    0 229 -325  1
28933200	3732500 2677500 12  1 22   1.4  993 180  2.4 3  3.8  89    0    0 228 -322  1
28936800	3732500 2677500 12  1 23   2.0  993 170  2.6 4  3.8  86    0    0 234 -318  1
28940400	3732500 2677500 12  1 24   2.3  993 170  2.6 6  3.6  81    0    0 250 -316  1
28944000	3732500 2677500 12  2  1   2.0  992 158  2.5 6  3.6  79    0    0 260 -316  1
28947600	3732500 2677500 12  2  2   2.1  991 167  2.0 6  3.5  78    0    0 263 -315  1
28951200	3732500 2677500 12  2  3   2.2  990 138  2.1 7  3.4  76    0    0 270 -315  1
28954800	3732500 2677500 12  2  4   2.1  989  70  2.3 7  3.4  74    0    0 277 -315  1
28958400	3732500 2677500 12  2  5   1.6  988  70  2.4 7  3.3  75    0    0 277 -316  1
28962000	3732500 2677500 12  2  6   1.5  987  71  2.6 8  3.4  78    0    0 283 -316  1
28965600	3732500 2677500 12  2  7   1.3  986  61  3.4 8  3.4  79    0    0 289 -316  1
28969200	3732500 2677500 12  2  8   0.9  986  69  4.0 8  3.4  81    0    0 287 -316  1
28972800	3732500 2677500 12  2  9   0.7  985  60  4.1 8  3.4  82    0    6 285 -316  1
28976400	3732500 2677500 12  2 10   0.8  985  70  4.9 8  3.3  81    2   41 284 -316  1
28980000	3732500 2677500 12  2 11   0.9  985  70  4.7 7  3.2  77    0   56 278 -316  1
28983600	3732500 2677500 12  2 12   1.2  984  60  4.6 8  3.1  74    0   62 277 -316  1
28987200	3732500 2677500 12  2 13   1.6  984  49  4.2 8  3.1  72    0   50 282 -317  1
28990800	3732500 2677500 12  2 14   1.9  983  40  3.9 8  3.1  70    0   64 281 -318  1
28994400	3732500 2677500 12  2 15   1.7  983  30  4.6 7  3.2  72    3   57 277 -319  1
28998000	3732500 2677500 12  2 16   1.2  983  30  4.6 8  3.4  78    3   26 276 -319  1
29001600	3732500 2677500 12  2 17   0.9  983  19  4.8 7  3.3  78    0    3 272 -318  1
29005200	3732500 2677500 12  2 18   0.6  983  30  4.3 8  3.1  76    0    0 270 -317  1
29008800	3732500 2677500 12  2 19   0.5  984  57  4.5 7  3.1  76    0    0 267 -316  1
29012400	3732500 2677500 12  2 20   0.6  984  39  4.8 7  3.1  76    0    0 255 -316  1
29016000	3732500 2677500 12  2 21   0.5  984  37  4.8 7  3.1  76    0    0 265 -316  1
29019600	3732500 2677500 12  2 22   0.3  985  32  4.8 7  3.2  78    0    0 263 -316  1
29023200	3732500 2677500 12  2 23  -0.3  986  38  4.2 7  3.1  81    0    0 255 -316  1
29026800	3732500 2677500 12  2 24  -1.0  986  52  3.7 7  3.1  84    0    0 236 -316  1
29030400	3732500 2677500 12  3  1  -1.6 1006  66  3.0 7  3.0  86    0    0 257 -283  1
29034000	3732500 2677500 12  3  2  -2.0 1006  81  2.6 7  2.9  87    0    0 261 -283  1
29037600	3732500 2677500 12  3  3  -2.2 1005  87  2.1 8  2.8  86    0    0 260 -282  1
29041200	3732500 2677500 12  3  4  -2.1 1005  81  2.0 8  2.8  84    0    0 257 -281  1
29044800	3732500 2677500 12  3  5  -2.1 1004  62  1.8 8  2.8  85    0    0 257 -280  1
29048400	3732500 2677500 12  3  6  -2.1 1003  41  1.5 8  2.8  84    0    0 260 -280  1
29052000	3732500 2677500 12  3  7  -2.0 1003  31  1.5 8  2.8  86    0    0 260 -280  1
29055600	3732500 2677500 12  3  8  -2.0 1003  32  1.5 8  2.8  85    0    0 260 -279  1
29059200	3732500 2677500 12  3  9  -1.9 1002  22  1.5 8  2.8  86    0    5 261 -279  1
29062800	3732500 2677500 12  3 10  -1.6 1002 108  1.5 8  2.9  86    0   30 261 -281  1
29066400	3732500 2677500 12  3 11  -1.3 1002  22  1.4 7  2.9  85    0   60 262 -285  1
29070000	3732500 2677500 12  3 12  -0.7 1002  11  1.3 6  3.0  84   19   92 260 -291  1
29073600	3732500 2677500 12  3 13  -0.4 1001   1  1.3 7  3.0  82    0   70 266 -297  1
29077200	3732500 2677500 12  3 14  -0.3 1000   1  1.2 7  3.1  82    0   45 272 -300  1
29080800	3732500 2677500 12  3 15  -0.2  999  12  1.3 7  3.1  82    0   30 274 -301  1
29084400	3732500 2677500 12  3 16  -0.3  998 311  1.3 7  3.1  82    0   12 276 -299  1
29088000	3732500 2677500 12  3 17  -0.2  998 208  1.9 8  3.0  78    0    1 279 -294  1
29091600	3732500 2677500 12  3 18   0.0  997 189  1.9 7  2.9  75    0    0 279 -290  1
29095200	3732500 2677500 12  3 19  -0.2  997 281  1.8 8  2.9  76    0    0 277 -287  1
29098800	3732500 2677500 12  3 20  -0.4  997 261  1.9 8  2.9  78    0    0 277 -284  1
29102400	3732500 2677500 12  3 21  -0.6  997 237  1.9 8  2.9  79    0    0 271 -282  1
29106000	3732500 2677500 12  3 22  -0.7  996 251  1.9 8  3.0  81    0    0 268 -279  1
29109600	3732500 2677500 12  3 23  -0.9  995 280  2.0 8  3.0  82    0    0 265 -279  1
29113200	3732500 2677500 12  3 24  -1.1  995 280  2.0 8  3.0  84    0    0 264 -280  1
29116800	3732500 2677500 12  4  1  -1.3  994 279  2.0 8  3.0  85    0    0 264 -280  1
29120400	3732500 2677500 12  4  2  -1.4  994 289  1.5 8  2.9  84    0    0 263 -280  1
29124000	3732500 2677500 12  4  3  -1.6  993 290  2.2 8  2.9  83    0    0 265 -281  1
29127600	3732500 2677500 12  4  4  -1.7  992 298  2.6 8  2.8  83    0    0 266 -281  1
29131200	3732500 2677500 12  4  5  -1.7  991 241  2.5 8  2.8  82    0    0 267 -282  1
29134800	3732500 2677500 12  4  6  -1.7  990 288  2.6 8  2.8  82    0    0 268 -283  1
29138400	3732500 2677500 12  4  7  -1.6  990 240  3.5 8  2.8  82    0    0 269 -285  1
29142000	3732500 2677500 12  4  8  -1.5  989 240  4.2 8  2.8  82    0    0 271 -289  1
29145600	3732500 2677500 12  4  9  -1.9  989 240  3.7 8  3.0  86    0    2 273 -292  1
29149200	3732500 2677500 12  4 10  -1.9  989 230  4.4 8  3.1  93    0   16 273 -294  1
29152800	3732500 2677500 12  4 11  -1.4  988 230  4.2 8  3.2  93    0   26 273 -298  1
29156400	3732500 2677500 12  4 12  -1.1  988 230  4.2 7  3.2  92    0   53 270 -303  1
29160000	3732500 2677500 12  4 13  -1.0  987 230  4.1 7  3.3  93    0   53 265 -307  1
29163600	3732500 2677500 12  4 14  -0.7  986 250  5.0 7  3.5  96    0   37 268 -311  1
29167200	3732500 2677500 12  4 15   0.1  987 260  3.6 8  3.7  98    0   24 276 -313  1
29170800	3732500 2677500 12  4 16   0.4  987 250  3.7 8  3.9  99    5   17 286 -314  1
29174400	3732500 2677500 12  4 17   0.2  986 250  4.3 7  4.0  99    3    3 283 -314  1
29178000	3732500 2677500 12  4 18   1.0  987 260  4.3 7  4.1 100    0    0 280 -313  1
29181600	3732500 2677500 12  4 19   1.1  987 270  4.6 7  4.2 100    0    0 282 -313  1
29185200	3732500 2677500 12  4 20   1.2  987 280  4.5 7  4.2 100    0    0 284 -313  1
29188800	3732500 2677500 12  4 21   1.0  987 270  4.6 8  4.2 100    0    0 291 -314  1
29192400	3732500 2677500 12  4 22   0.4  988 270  4.6 7  4.1 100    0    0 289 -313  1
29196000	3732500 2677500 12  4 23   0.6  988 250  4.3 7  4.0 100    0    0 283 -313  1
29199600	3732500 2677500 12  4 24   0.6  988 270  4.4 8  4.1 100    0    0 289 -312  1
29203200	3732500 2677500 12  5  1   0.4  988 270  5.0 8  4.0 100    0    0 294 -312  1
29206800	3732500 2677500 12  5  2   0.4  989 270  4.2 8  4.0 100    0    0 292 -311  1
29210400	3732500 2677500 12  5  3   0.2  988 260  4.7 8  4.0 100    0    0 292 -310  1
29214000	3732500 2677500 12  5  4   0.2  988 260  4.6 8  3.9  99    0    0 291 -309  1
29217600	3732500 2677500 12  5  5   0.2  988 260  5.5 8  3.9  99    0    0 290 -309  1
29221200	3732500 2677500 12  5  6   0.1  988 270  5.6 8  3.9  99    0    0 288 -308  1
29224800	3732500 2677500 12  5  7   0.2  988 270  5.7 8  3.9  98    0    0 287 -308  1
29228400	3732500 2677500 12  5  8   0.0  988 270  5.1 8  3.8  98    0    0 287 -308  1
29232000	3732500 2677500 12  5  9  -0.1  988 270  5.9 8  3.8  97    0    1 286 -308  1
29235600	3732500 2677500 12  5 10  -0.3  987 260  6.7 8  3.7  98    9   38 285 -307  1
29239200	3732500 2677500 12  5 11   0.4  988 260  5.7 8  3.8  98    0   34 285 -308  1
29242800	3732500 2677500 12  5 12   0.4  988 270  5.8 7  3.9  96    0   65 280 -310  1
29246400	3732500 2677500 12  5 13   0.6  988 260  7.0 7  3.8  95    0   75 274 -312  1
29250000	3732500 2677500 12  5 14   0.7  988 270  5.9 8  3.9  95    0   41 279 -313  1
29253600	3732500 2677500 12  5 15   0.6  988 260  6.7 7  3.9  95    0   46 278 -313  1
29257200	3732500 2677500 12  5 16   0.4  988 270  5.9 8  3.8  95    0   17 278 -312  1
29260800	3732500 2677500 12  5 17   0.3  989 270  5.9 8  3.9  97    0    1 282 -310  1
29264400	3732500 2677500 12  5 18   0.1  988 270  5.2 8  3.8  97    0    0 280 -308  1
29268000	3732500 2677500 12  5 19   0.1  988 270  5.6 8  3.8  97    0    0 278 -307  1
29271600	3732500 2677500 12  5 20   0.0  989 261  5.4 7  3.8  97    0    0 273 -308  1
29275200	3732500 2677500 12  5 21   0.1  989 260  5.5 7  3.8  96    0    0 268 -308  1
29278800	3732500 2677500 12  5 22   0.0  989 270  5.4 7  3.8  96    0    0 269 -308  1
29282400	3732500 2677500 12  5 23  -0.1  990 261  5.6 8  3.7  96    0    0 274 -308  1
29286000	3732500 2677500 12  5 24  -0.3  990 260  4.8 8  3.7  97    0    0 280 -307  1
29289600	3732500 2677500 12  6  1  -0.4  990 280  5.0 8  3.7  98    0    0 281 -306  1
29293200	3732500 2677500 12  6  2  -0.9  991 270  4.9 5  3.6  98    0    0 267 -306  1
29296800	3732500 2677500 12  6  3  -1.4  991 250  4.8 4  3.4  97    0    0 250 -307  1
29300400	3732500 2677500 12  6  4  -0.9  992 270  6.1 6  3.4  97    0    0 256 -309  1
29304000	3732500 2677500 12  6  5  -1.1  992 270  5.4 7  3.5  97    0    0 270 -308  1
29307600	3732500 2677500 12  6  6  -0.9  993 260  5.4 8  3.5  98    0    0 279 -306  1
29311200	3732500 2677500 12  6  7  -0.8  993 260  5.6 7  3.6  98    0    0 279 -304  1
29314800	3732500 2677500 12  6  8  -0.6  994 270  5.6 7  3.6  97    0    0 274 -305  1
29318400	3732500 2677500 12  6  9  -0.6  995 270  5.6 7  3.6  96    0    2 273 -305  1
29322000	3732500 2677500 12  6 10  -0.4  996 279  5.5 7  3.6  96    0   40 274 -306  1
29325600	3732500 2677500 12  6 11   0.0  996 280  4.6 7  3.7  96    0   53 276 -308  1
29329200	3732500 2677500 12  6 12   0.1  997 270  5.5 7  3.7  96    0   48 277 -309  1
29332800	3732500 2677500 12  6 13   0.5  998 280  4.8 7  3.8  95    0   50 276 -310  1
29336400	3732500 2677500 12  6 14   0.5  998 280  4.6 7  3.8  95    0   42 276 -311  1
29340000	3732500 2677500 12  6 15   0.6  999 270  4.6 6  3.8  94    2   58 271 -310  1
29343600	3732500 2677500 12  6 16   0.6  999 270  4.3 5  3.7  92    8   35 260 -308  1
29347200	3732500 2677500 12  6 17   0.4 1000 270  4.4 3  3.6  91    0    6 242 -303  1
29350800	3732500 2677500 12  6 18   0.0 1000 270  4.4 2  3.6  91    0    0 224 -299  1
29354400	3732500 2677500 12  6 19  -0.4 1001 270  5.1 1  3.5  91    0    0 212 -297  1
29358000	3732500 2677500 12  6 20  -0.8 1001 270  5.0 1  3.3  91    0    0 206 -295  1
29361600	3732500 2677500 12  6 21  -1.0 1002 269  4.9 1  3.3  92    0    0 205 -294  1
29365200	3732500 2677500 12  6 22  -1.0 1002 260  4.4 4  3.4  94    0    0 221 -294  1
29368800	3732500 2677500 12  6 23  -0.7 1003 260  5.0 5  3.5  96    0    0 242 -295  1
29372400	3732500 2677500 12  6 24  -0.2 1003 260  4.4 7  3.6  98    0    0 257 -294  1
29376000	3732500 2677500 12  7  1   0.1 1003 279  4.4 7  3.8  99    0    0 267 -295  1
29379600	3732500 2677500 12  7  2  -0.1 1003 280  4.7 7  3.8  99    0    0 267 -295  1
29383200	3732500 2677500 12  7  3  -0.1 1003 270  4.3 8  3.8  99    0    0 271 -294  1
29386800	3732500 2677500 12  7  4   0.1 1004 289  2.8 7  3.8  99    0    0 273 -294  1
29390400	3732500 2677500 12  7  5   0.2 1004 289  3.3 7  3.8  99    0    0 269 -293  1
29394000	3732500 2677500 12  7  6   0.2 1004 280  3.9 7  3.9 100    0    0 271 -292  1
29397600	3732500 2677500 12  7  7   0.3 1004 260  3.0 8  3.9 100    0    0 279 -290  1
29401200	3732500 2677500 12  7  8   0.3 1004 269  3.0 8  3.9  99    0    0 284 -289  1
29404800	3732500 2677500 12  7  9   0.5 1005 270  2.9 8  3.9  99    0    2 286 -287  1
29408400	3732500 2677500 12  7 10   0.4 1005 269  3.7 8  3.9 100    0   32 287 -286  1
29412000	3732500 2677500 12  7 11   0.5 1006 269  3.8 8  4.0 100    0   37 290 -288  1
29415600	3732500 2677500 12  7 12   0.6 1006 269  3.0 8  4.0 100    0   40 293 -291  1
29419200	3732500 2677500 12  7 13   0.8 1006 260  3.9 8  4.0 100    0   56 295 -294  1
29422800	3732500 2677500 12  7 14   0.8 1006 270  3.2 8  4.0 100    0   52 297 -295  1
29426400	3732500 2677500 12  7 15   1.1 1006 280  3.1 8  4.1 100    0   43 296 -295  1
29430000	3732500 2677500 12  7 16   1.0 1007 280  2.3 7  4.1 100    1   23 289 -292  1
29433600	3732500 2677500 12  7 17   1.0 1007 270  2.9 7  4.1  99    0    5 281 -288  1
29437200	3732500 2677500 12  7 18   1.0 1008 270  2.9 7  4.0  99    0    0 279 -285  1
29440800	3732500 2677500 12  7 19   0.9 1008 270  3.0 7  4.1  99    0    0 278 -284  1
29444400	3732500 2677500 12  7 20   0.8 1009 279  2.9 7  4.1 100    0    0 279 -284  1
29448000	3732500 2677500 12  7 21   0.7 1009 279  1.4 8  4.0 100    0    0 282 -284  1
29451600	3732500 2677500 12  7 22   0.5 1010 260  2.0 7  4.0 100    0    0 282 -285  1
29455200	3732500 2677500 12  7 23   0.4 1010 299  2.0 7  3.9 100    0    0 276 -286  1
29458800	3732500 2677500 12  7 24   0.3 1010 270  1.4 8  3.8  99    0    0 280 -287  1
29462400	3732500 2677500 12  8  1   0.3 1011 269  1.2 8  3.7  96    0    0 282 -287  1
29466000	3732500 2677500 12  8  2   0.5 1011 232  2.6 8  3.7  94    0    0 280 -287  1
29469600	3732500 2677500 12  8  3   0.6 1011 239  2.5 8  3.8  95    0    0 280 -287  1
29473200	3732500 2677500 12  8  4   0.4 1011 240  1.8 8  3.8  96    0    0 277 -287  1
29476800	3732500 2677500 12  8  5   0.5 1011 240  1.8 8  3.7  95    0    0 274 -286  1
29480400	3732500 2677500 12  8  6   0.5 1011 230  1.9 8  3.7  94    0    0 271 -285  1
29484000	3732500 2677500 12  8  7  -0.1 1011 181  1.3 7  3.6  92    0    0 265 -285  1
29487600	3732500 2677500 12  8  8  -0.5 1011 179  2.1 6  3.5  93    0    0 254 -284  1
29491200	3732500 2677500 12  8  9  -0.7 1011 161  1.4 6  3.4  94    0    1 248 -285  1
29494800	3732500 2677500 12  8 10   0.4 1011 190  1.3 7  3.3  89    0   13 250 -285  1
29498400	3732500 2677500 12  8 11   1.6 1011 200  2.8 7  3.1  75    5   82 252 -287  1
29502000	3732500 2677500 12  8 12   2.6 1011 200  2.9 7  2.9  65    4  103 251 -291  1
29505600	3732500 2677500 12  8 13   1.9 1010 191  3.0 6  2.8  63   11  126 246 -295  1
29509200	3732500 2677500 12  8 14   1.9 1010 231  3.8 7  2.8  65    7  100 245 -298  1
29512800	3732500 2677500 12  8 15   1.4 1009 220  3.1 7  3.1  72    8   75 247 -299  1
29516400	3732500 2677500 12  8 16   0.5 1009 200  2.3 7  3.3  80    5   33 246 -298  1
29520000	3732500 2677500 12  8 17   0.6 1009 191  3.0 8  3.4  86    0    3 249 -296  1
29523600	3732500 2677500 12  8 18   0.6 1009 180  3.1 8  3.5  88    0    0 253 -294  1
29527200	3732500 2677500 12  8 19   0.5 1009 169  2.5 8  3.5  89    0    0 252 -294  1
29530800	3732500 2677500 12  8 20   0.9 1009 169  2.5 8  3.6  89    0    0 254 -294  1
29534400	3732500 2677500 12  8 21   1.1 1008 200  3.2 8  3.6  88    0    0 255 -294  1
29538000	3732500 2677500 12  8 22   1.4 1008 178  3.9 7  3.6  87    0    0 252 -291  1
29541600	3732500 2677500 12  8 23   1.3 1008 190  4.1 7  3.6  86    0    0 251 -290  1
29545200	3732500 2677500 12  8 24   1.3 1008 190  2.6 8  3.7  88    0    0 256 -290  1
29548800	3732500 2677500 12  9  1   1.0 1007 180  3.2 8  3.8  91    0    0 261 -290  1
29552400	3732500 2677500 12  9  2   1.6 1007 190  3.9 8  3.9  93    0    0 262 -290  1
29556000	3732500 2677500 12  9  3   1.7 1006 190  4.2 7  4.0  94    0    0 261 -290  1
29559600	3732500 2677500 12  9  4   1.9 1006 199  4.9 8  4.0  93    0    0 263 -291  1
29563200	3732500 2677500 12  9  5   1.7 1006 190  3.5 8  4.1  93    0    0 269 -292  1
29566800	3732500 2677500 12  9  6   1.9 1005 180  4.2 8  4.1  95    0    0 273 -292  1
29570400	3732500 2677500 12  9  7   2.2 1004 180  3.7 7  4.2  95    0    0 273 -292  1
29574000	3732500 2677500 12  9  8   2.3 1004 181  3.7 8  4.3  96    0    0 277 -294  1
29577600	3732500 2677500 12  9  9   3.1 1004 201  3.9 8  4.5  96    0    1 285 -296  1
29581200	3732500 2677500 12  9 10   3.5 1004 191  4.5 8  4.6  95    0   26 288 -298  1
29584800	3732500 2677500 12  9 11   3.6 1004 200  3.9 7  4.7  95    0   44 286 -302  1
29588400	3732500 2677500 12  9 12   3.8 1004 200  4.6 7  4.7  95    0   39 286 -306  1
29592000	3732500 2677500 12  9 13   3.9 1004 190  4.7 7  4.8  94    0   54 288 -310  1
29595600	3732500 2677500 12  9 14   4.1 1003 190  4.8 7  4.8  94    0   59 292 -312  1
29599200	3732500 2677500 12  9 15   3.8 1003 200  5.4 7  4.7  93    1   54 297 -312  1
29602800	3732500 2677500 12  9 16   4.0 1003 190  5.4 8  4.7  92    0   17 303 -312  1
