#	RW	HW	MM	DD	HH	t	p	WR	WG	N	x	RF	B	D	A	E	IL
#***																	
double	wetter	(8771,	18)														
540000	3732500	2677500	1	7	7	3.9	989	190	4.3	1	4.4	85	0	0	217	-324	1
543600	3732500	2677500	1	7	8	4.0	990	190	5.1	1	4.4	85	0	0	224	-325	1
547200	3732500	2677500	1	7	9	3.9	990	190	3.7	1	4.3	84	0	0	224	-325	1
550800	3732500	2677500	1	7	10	3.9	990	190	3.1	2	4.4	85	24	39	232	-326	1
554400	3732500	2677500	1	7	11	6.0	990	200	6.0	1	4.5	82	89	68	237	-328	1
558000	3732500	2677500	1	7	12	6.7	991	210	7.6	4	4.7	77	77	103	256	-332	1
561600	3732500	2677500	1	7	13	7.2	991	210	6.1	5	4.9	77	66	113	283	-337	1
565200	3732500	2677500	1	7	14	7.3	990	220	6.1	6	5.1	78	26	101	297	-341	1
568800	3732500	2677500	1	7	15	6.7	990	230	6.1	6	5.0	79	4	65	302	-342	1
572400	3732500	2677500	1	7	16	6.7	990	220	5.9	6	4.9	79	17	39	301	-341	1
576000	3732500	2677500	1	7	17	6.0	991	220	4.2	6	5.0	81	0	5	300	-340	1
579600	3732500	2677500	1	7	18	5.6	991	230	4.3	6	5.0	85	0	0	298	-338	1
583200	3732500	2677500	1	7	19	5.3	992	230	4.2	6	5.0	88	0	0	295	-336	1
586800	3732500	2677500	1	7	20	5.5	992	220	3.4	6	5.0	88	0	0	293	-336	1
590400	3732500	2677500	1	7	21	5.3	993	210	4.0	6	5.0	87	0	0	291	-336	1
594000	3732500	2677500	1	7	22	4.9	993	210	3.4	5	4.9	88	0	0	284	-336	1
597600	3732500	2677500	1	7	23	4.6	993	211	3.4	5	4.8	89	0	0	276	-336	1
601200	3732500	2677500	1	7	24	3.8	993	210	3.9	3	4.7	90	0	0	261	-336	1
604800	3732500	2677500	1	8	1	3.6	993	210	3.3	3	4.6	92	0	0	247	-333	1
608400	3732500	2677500	1	8	2	3.3	993	209	3.1	2	4.6	92	0	0	238	-331	1
612000	3732500	2677500	1	8	3	3.0	993	210	3.1	1	4.5	93	0	0	223	-333	1
615600	3732500	2677500	1	8	4	2.8	993	220	3.9	0	4.5	94	0	0	207	-333	1
619200	3732500	2677500	1	8	5	2.6	993	210	3.9	1	4.4	94	0	0	204	-333	1
622800	3732500	2677500	1	8	6	2.5	994	210	3.9	1	4.4	94	0	0	207	-333	1
626400	3732500	2677500	1	8	7	2.5	993	211	3.9	1	4.3	93	0	0	207	-333	1
630000	3732500	2677500	1	8	8	2.5	994	220	3.8	1	4.3	92	0	0	212	-333	1
633600	3732500	2677500	1	8	9	2.3	994	220	3.7	1	4.2	91	0	0	217	-333	1
637200	3732500	2677500	1	8	10	2.7	994	220	3.8	2	4.1	89	27	38	226	-333	1
640800	3732500	2677500	1	8	11	4.1	994	230	4.7	1	4.2	85	103	59	227	-334	1
644400	3732500	2677500	1	8	12	5.0	994	221	4.8	0	4.3	81	166	65	214	-336	1
648000	3732500	2677500	1	8	13	5.5	994	230	4.9	1	4.5	79	192	65	211	-338	1
651600	3732500	2677500	1	8	14	6.7	994	243	4.9	1	4.5	76	186	60	214	-341	1
655200	3732500	2677500	1	8	15	6.0	993	233	4.2	5	4.5	75	37	76	243	-343	1
658800	3732500	2677500	1	8	16	5.7	993	242	4.1	7	4.6	78	3	30	286	-343	1
662400	3732500	2677500	1	8	17	5.4	994	230	3.3	7	4.7	82	0	6	299	-340	1
666000	3732500	2677500	1	8	18	5.1	994	184	3.2	8	4.7	83	0	0	302	-336	1
669600	3732500	2677500	1	8	19	4.7	994	251	3.8	8	4.7	85	0	0	306	-334	1
673200	3732500	2677500	1	8	20	4.0	994	239	3.9	8	4.8	91	0	0	304	-334	1
676800	3732500	2677500	1	8	21	4.0	995	184	3.7	7	4.9	94	0	0	297	-334	1
680400	3732500	2677500	1	8	22	4.0	995	221	3.6	7	4.8	93	0	0	291	-332	1
